aX,aY,aZ,gX,gY,gZ
-0.051,-0.514,0.769,-17.273,-13.733,23.132
-0.019,-0.520,0.774,-16.479,-15.442,18.372
-0.006,-0.520,0.782,-13.855,-13.550,16.418
0.011,-0.520,0.781,-10.864,-11.047,16.296
0.018,-0.516,0.791,-7.507,-10.803,17.395
0.010,-0.511,0.812,-5.249,-13.000,18.860
0.005,-0.505,0.829,-4.639,-15.015,18.433
0.000,-0.502,0.835,-4.883,-16.846,16.907
0.000,-0.496,0.839,-4.944,-18.127,14.893
0.001,-0.484,0.846,-4.395,-19.226,12.207
-0.003,-0.481,0.858,-3.296,-20.264,9.827
-0.002,-0.483,0.870,-2.869,-20.447,7.812
0.001,-0.482,0.877,-2.747,-19.531,5.981
0.006,-0.479,0.877,-2.441,-18.127,5.310
0.014,-0.476,0.875,-1.160,-16.357,5.432
0.016,-0.472,0.877,0.122,-14.587,6.531
0.017,-0.466,0.877,1.038,-12.756,7.690
0.016,-0.458,0.876,1.160,-11.475,8.667
0.018,-0.447,0.873,0.366,-10.986,8.911
0.020,-0.434,0.864,-0.671,-11.292,8.606
0.016,-0.425,0.860,-1.160,-11.841,7.874
0.020,-0.419,0.857,-1.221,-12.146,6.470
0.024,-0.416,0.858,-0.977,-12.207,5.127
0.025,-0.412,0.857,-0.671,-11.292,4.089
0.034,-0.410,0.854,-0.366,-10.437,3.418
0.034,-0.406,0.853,-0.366,-10.071,3.296
0.029,-0.406,0.856,-0.366,-9.766,2.625
0.032,-0.400,0.858,-0.305,-9.399,1.221
0.032,-0.392,0.860,-0.122,-9.705,-0.610
0.031,-0.384,0.861,0.061,-9.827,-2.136
0.028,-0.370,0.875,0.549,-10.437,-3.601
0.014,-0.343,0.895,0.610,-11.230,-5.188
0.001,-0.304,0.908,0.305,-11.292,-6.897
-0.026,-0.245,0.926,-0.793,-11.902,-8.667
-0.085,-0.146,0.967,-2.563,-14.526,-11.597
-0.192,-0.011,1.013,-4.944,-17.151,-15.869
-0.299,0.112,1.006,-8.240,-17.212,-21.118
-0.413,0.230,0.951,-10.315,-14.038,-26.794
-0.544,0.276,0.871,-8.606,-12.512,-32.410
-0.717,0.267,0.813,-2.197,-13.367,-42.053
-0.838,0.179,0.754,9.644,-13.062,-58.289
-0.925,-0.004,0.709,26.550,-9.705,-78.064
-0.898,-0.302,0.682,46.448,-4.578,-102.234
-0.733,-0.636,0.667,62.561,-2.319,-128.479
-0.499,-0.966,0.690,72.144,-5.676,-147.827
-0.190,-1.280,0.725,76.782,-7.751,-154.724
0.175,-1.542,0.778,78.796,-5.066,-149.780
0.530,-1.755,0.853,77.393,-2.869,-136.841
0.862,-1.889,0.943,71.350,-5.188,-118.103
1.034,-1.896,1.008,57.739,-9.460,-88.745
0.970,-1.732,0.979,37.537,-5.127,-44.922
0.631,-1.414,0.843,16.174,10.742,5.798
0.104,-1.004,0.700,2.075,28.870,49.744
-0.390,-0.627,0.613,-4.517,34.790,69.458
-0.712,-0.380,0.577,-9.338,21.545,59.326
-0.810,-0.266,0.576,-11.902,-2.380,30.823
-0.724,-0.287,0.602,-10.376,-20.081,1.343
-0.555,-0.386,0.643,-4.028,-24.963,-17.456
-0.382,-0.517,0.700,3.418,-20.874,-25.513
-0.219,-0.644,0.755,8.728,-14.221,-27.039

0.902,-1.961,0.766,89.050,5.432,-161.926
1.258,-2.085,0.943,81.116,-2.075,-136.475
1.383,-2.045,1.034,61.768,-4.333,-93.201
1.167,-1.795,0.959,29.846,2.441,-32.715
0.579,-1.387,0.798,0.671,15.930,29.236
-0.123,-0.893,0.695,-12.634,28.259,73.730
-0.684,-0.515,0.635,-15.503,31.738,83.923
-0.955,-0.292,0.597,-15.503,19.409,60.181
-0.902,-0.260,0.574,-12.390,-2.625,18.127
-0.646,-0.363,0.591,-6.897,-20.142,-19.165
-0.353,-0.542,0.642,0.977,-24.841,-39.978
-0.097,-0.722,0.711,9.216,-19.897,-45.593
0.083,-0.860,0.772,13.367,-13.977,-39.429
0.158,-0.933,0.812,12.451,-8.423,-25.146
0.104,-0.919,0.832,10.315,-2.258,-6.775
-0.021,-0.853,0.814,8.057,7.324,9.949
-0.144,-0.768,0.774,6.592,14.343,20.569
-0.225,-0.692,0.728,4.517,14.771,22.644
-0.249,-0.647,0.680,1.648,10.132,18.127
-0.230,-0.633,0.665,0.061,3.601,10.742
-0.199,-0.648,0.684,0.183,-2.014,4.761
-0.155,-0.677,0.717,0.366,-4.822,1.160
-0.112,-0.709,0.758,0.488,-5.737,0.305
-0.080,-0.748,0.794,0.854,-5.493,1.282
-0.047,-0.780,0.823,1.221,-4.150,2.563
-0.030,-0.805,0.841,0.916,-2.991,4.639
-0.021,-0.811,0.851,-0.061,-1.160,8.362
-0.030,-0.806,0.850,-1.770,0.916,12.085
-0.042,-0.792,0.831,-4.517,2.075,15.442
-0.045,-0.778,0.812,-7.019,1.526,16.357
-0.037,-0.775,0.796,-8.972,-0.610,15.564
-0.017,-0.782,0.788,-10.193,-2.930,14.648
-0.003,-0.798,0.793,-10.864,-4.639,14.709
0.011,-0.819,0.805,-10.925,-4.944,15.686
0.023,-0.835,0.812,-11.292,-4.822,17.639
0.024,-0.840,0.812,-12.146,-4.639,20.508
0.019,-0.839,0.812,-13.000,-5.554,23.682
0.003,-0.837,0.808,-14.587,-6.958,26.611
-0.008,-0.826,0.802,-16.663,-8.789,27.832
-0.025,-0.821,0.801,-18.860,-10.742,28.503
-0.034,-0.811,0.795,-20.691,-11.841,29.358
-0.042,-0.798,0.788,-22.034,-11.108,31.067
-0.056,-0.777,0.775,-22.522,-8.972,33.936
-0.066,-0.753,0.758,-22.461,-6.409,36.987
-0.085,-0.723,0.746,-21.423,-5.676,39.429
-0.107,-0.700,0.743,-20.142,-6.042,40.527
-0.114,-0.688,0.735,-19.226,-6.470,38.757
-0.110,-0.689,0.728,-17.761,-7.690,35.828
-0.101,-0.692,0.728,-16.174,-9.583,32.959
-0.086,-0.704,0.732,-14.709,-10.315,30.762
-0.065,-0.705,0.733,-13.550,-9.521,30.396
-0.057,-0.682,0.737,-12.939,-7.996,32.654
-0.061,-0.650,0.728,-13.062,-6.042,36.377
-0.074,-0.615,0.722,-13.123,-4.578,39.246
-0.092,-0.587,0.717,-12.634,-4.456,40.283
-0.098,-0.572,0.717,-11.719,-5.737,38.269
-0.080,-0.568,0.716,-11.658,-8.728,34.241
-0.077,-0.574,0.728,-11.841,-12.939,31.372
-0.073,-0.573,0.735,-11.047,-14.465,29.541
-0.056,-0.564,0.740,-9.216,-13.000,28.259
-0.052,-0.534,0.754,-7.629,-11.475,29.358
-0.059,-0.520,0.756,-6.653,-10.254,30.273
-0.060,-0.509,0.752,-6.348,-10.193,29.541
-0.057,-0.501,0.761,-6.165,-12.329,27.466
-0.057,-0.500,0.775,-6.836,-15.381,25.269
-0.064,-0.500,0.785,-7.996,-16.785,23.071
-0.064,-0.491,0.799,-8.789,-17.212,20.874
-0.063,-0.470,0.812,-9.155,-17.395,18.982
-0.057,-0.448,0.827,-9.094,-16.602,16.907
-0.051,-0.431,0.838,-8.972,-15.686,15.625
-0.043,-0.410,0.851,-8.362,-14.771,15.137
-0.035,-0.395,0.858,-7.385,-13.245,14.832
-0.036,-0.370,0.874,-5.981,-11.963,15.076
-0.035,-0.353,0.887,-4.883,-10.559,14.282
-0.027,-0.341,0.901,-3.967,-9.460,12.512
-0.024,-0.339,0.912,-3.601,-9.644,10.254
-0.015,-0.341,0.919,-3.723,-10.193,7.629
-0.006,-0.347,0.923,-3.784,-10.315,5.188
0.000,-0.348,0.930,-3.418,-9.399,3.174
0.004,-0.342,0.931,-3.113,-8.423,1.282
0.006,-0.342,0.936,-3.296,-8.667,-1.404
0.004,-0.347,0.944,-3.784,-9.460,-3.357
-0.010,-0.323,0.967,-3.967,-9.155,-5.066
-0.053,-0.281,0.995,-3.418,-7.324,-5.615
-0.089,-0.245,0.995,-2.686,-3.540,-5.737
-0.135,-0.159,0.995,-2.625,0.793,-6.958
-0.214,-0.023,1.001,-0.732,5.066,-7.385
-0.299,0.106,0.976,1.892,13.306,-7.568
-0.442,0.251,0.948,4.517,21.484,-8.484
-0.631,0.362,0.901,8.118,27.405,-11.719
-0.859,0.461,0.847,12.695,32.654,-19.653
-1.051,0.408,0.708,18.738,39.246,-32.104
-1.132,0.151,0.496,26.306,45.593,-52.185
-1.073,-0.223,0.352,41.443,42.725,-78.430
-0.934,-0.623,0.305,61.218,34.912,-103.088
-0.695,-1.057,0.292,81.360,35.278,-121.338
-0.232,-1.518,0.304,99.915,42.969,-135.803
0.283,-1.869,0.475,113.464,40.588,-143.494
0.811,-2.136,0.678,114.136,28.992,-143.005
1.288,-2.305,0.854,100.952,16.541,-130.005
1.551,-2.320,0.959,77.515,4.700,-97.229
1.461,-2.092,0.986,45.715,-2.808,-47.119
0.918,-1.667,0.899,10.437,-3.296,12.085
0.117,-1.114,0.786,-13.306,6.226,63.416
-0.570,-0.586,0.662,-20.386,17.517,86.975
-0.956,-0.246,0.549,-20.020,17.639,74.219
-0.969,-0.127,0.501,-13.794,3.662,37.903
-0.723,-0.226,0.520,-4.883,-11.108,-0.610
-0.399,-0.421,0.589,4.700,-17.944,-25.635
-0.116,-0.626,0.682,11.475,-18.311,-37.598
0.092,-0.811,0.756,12.756,-17.517,-40.161
0.183,-0.924,0.802,10.193,-17.151,-33.081
0.138,-0.931,0.829,6.775,-13.794,-17.700
0.007,-0.879,0.814,3.601,-6.470,-1.465
-0.112,-0.813,0.783,0.977,-2.625,8.179
-0.186,-0.751,0.751,-1.953,-4.639,9.827
-0.219,-0.699,0.719,-4.578,-7.202,7.874
-0.231,-0.674,0.703,-5.005,-7.568,6.409
-0.220,-0.668,0.709,-3.723,-7.263,4.578

1.106,-2.313,0.989,122.742,-21.912,-185.181
1.682,-2.492,1.228,102.417,-37.598,-164.734
2.001,-2.444,1.200,63.721,-30.579,-107.849
1.483,-2.024,1.040,16.846,-12.817,-18.066
0.296,-1.239,0.901,-13.428,16.052,81.299
-0.747,-0.534,0.659,-22.339,60.852,139.465
-1.251,-0.131,0.465,-15.747,76.538,122.375
-1.178,-0.001,0.379,-5.066,38.086,57.251
-0.795,-0.178,0.389,1.587,-9.521,-9.644
-0.377,-0.444,0.492,12.390,-31.189,-47.363
-0.071,-0.714,0.644,25.146,-31.128,-59.204
0.140,-0.920,0.800,30.090,-28.503,-58.044
0.256,-1.028,0.885,22.827,-28.137,-47.729
0.248,-1.054,0.902,11.658,-21.057,-28.259
0.139,-1.005,0.869,5.737,-7.690,-5.737
0.017,-0.941,0.823,3.845,2.197,9.827
-0.071,-0.868,0.791,0.366,1.282,15.503
-0.127,-0.805,0.766,-4.883,-6.042,13.245
-0.152,-0.765,0.749,-8.667,-12.573,8.606
-0.152,-0.748,0.756,-9.705,-16.418,4.639
-0.132,-0.755,0.780,-9.888,-18.372,1.465
-0.123,-0.755,0.814,-10.498,-19.165,-0.183
-0.147,-0.724,0.834,-10.681,-16.357,2.625
-0.166,-0.707,0.835,-8.240,-7.263,8.057
-0.177,-0.697,0.854,-3.357,0.488,11.414
-0.161,-0.708,0.874,-0.305,4.883,10.315
-0.135,-0.710,0.879,-0.061,5.920,7.263
-0.106,-0.719,0.859,-1.465,6.714,5.859
-0.074,-0.723,0.832,-2.380,7.385,5.005
-0.035,-0.741,0.809,-3.113,6.958,3.357
0.008,-0.764,0.797,-4.211,4.150,1.221
0.046,-0.792,0.791,-5.127,1.099,-0.061
0.066,-0.817,0.799,-6.104,-1.404,0.427
0.070,-0.834,0.802,-7.568,-2.502,2.563
0.072,-0.841,0.800,-9.338,-2.319,4.456
0.065,-0.836,0.801,-11.536,-2.441,7.141
0.045,-0.826,0.794,-13.733,-2.319,10.437
0.028,-0.818,0.781,-15.808,-1.953,12.207
0.013,-0.813,0.776,-17.090,-2.136,12.817
0.005,-0.810,0.772,-18.494,-1.892,13.489
-0.000,-0.805,0.765,-20.874,-1.282,14.709
-0.016,-0.797,0.755,-23.499,-0.488,16.296
-0.025,-0.792,0.725,-26.367,0.977,17.517
-0.021,-0.765,0.689,-28.137,0.671,20.142
-0.043,-0.724,0.677,-27.954,-1.343,25.452
-0.062,-0.713,0.673,-26.917,-1.770,29.358
-0.080,-0.712,0.680,-25.818,-2.197,30.640
-0.092,-0.714,0.693,-25.818,-3.967,30.212
-0.084,-0.716,0.695,-27.588,-6.348,28.748
-0.059,-0.702,0.701,-29.236,-9.338,28.992
-0.054,-0.653,0.714,-30.273,-11.169,32.288
-0.073,-0.611,0.716,-30.823,-10.986,38.086
-0.097,-0.569,0.716,-30.334,-10.010,42.358
-0.112,-0.536,0.722,-28.687,-10.132,43.396
-0.117,-0.520,0.746,-26.245,-11.169,42.725
-0.134,-0.516,0.781,-24.048,-11.292,41.382
-0.142,-0.515,0.796,-23.560,-10.437,38.025
-0.134,-0.507,0.797,-24.658,-12.329,32.776
-0.111,-0.492,0.802,-26.184,-16.907,27.222
-0.093,-0.483,0.811,-27.344,-19.958,24.170
-0.082,-0.466,0.817,-27.710,-20.386,22.827
-0.074,-0.437,0.813,-27.710,-18.738,21.912
-0.071,-0.394,0.809,-26.489,-17.944,21.667
-0.076,-0.361,0.812,-24.109,-18.066,20.752
-0.079,-0.339,0.820,-21.851,-18.372,18.860
-0.086,-0.334,0.841,-19.592,-18.433,16.113
-0.080,-0.333,0.854,-18.005,-17.761,12.390
-0.074,-0.342,0.867,-17.151,-17.212,8.972
-0.078,-0.354,0.881,-15.503,-16.357,6.775
-0.062,-0.360,0.891,-13.245,-13.000,5.005
-0.045,-0.361,0.903,-11.169,-9.705,4.578
-0.035,-0.363,0.903,-9.583,-6.897,6.042
-0.030,-0.360,0.896,-8.057,-4.456,7.507
-0.021,-0.359,0.887,-6.531,-2.502,8.728
-0.030,-0.356,0.890,-4.883,-1.709,9.521
-0.030,-0.354,0.888,-3.235,-1.038,8.423
-0.025,-0.354,0.887,-2.808,-1.465,6.348
-0.027,-0.353,0.887,-2.686,-2.563,4.028
-0.021,-0.355,0.884,-1.953,-2.747,1.587
-0.017,-0.353,0.888,-0.549,-2.502,0.061
-0.015,-0.350,0.894,0.732,-1.953,-0.916
-0.018,-0.349,0.892,1.526,-1.343,-1.404
-0.021,-0.344,0.890,2.014,-1.343,-2.136
-0.028,-0.335,0.897,2.930,-1.404,-2.930
-0.045,-0.326,0.905,4.272,-1.709,-3.662
-0.057,-0.323,0.907,5.005,-1.831,-5.676
-0.073,-0.310,0.916,5.127,-2.808,-8.606
-0.104,-0.267,0.939,5.249,-4.211,-11.353
-0.137,-0.234,0.943,5.554,-4.150,-13.733
-0.159,-0.198,0.927,5.737,-2.197,-16.357
-0.196,-0.161,0.909,5.981,-1.404,-18.616
-0.245,-0.108,0.891,7.874,-0.610,-20.508
-0.284,-0.084,0.848,11.963,3.235,-21.790
-0.352,-0.025,0.823,18.372,8.850,-22.400
-0.440,0.004,0.772,26.428,15.137,-21.484
-0.534,-0.012,0.696,34.546,22.705,-22.095
-0.619,-0.069,0.619,44.128,28.809,-27.771
-0.659,-0.196,0.551,54.199,31.616,-38.025
-0.631,-0.366,0.498,61.890,30.151,-51.880
-0.572,-0.573,0.471,66.467,23.621,-64.331
-0.516,-0.742,0.497,69.458,17.944,-74.280
-0.430,-0.926,0.511,70.984,18.127,-79.712
-0.270,-1.106,0.521,72.327,22.217,-85.999
-0.018,-1.303,0.586,74.951,20.630,-95.764
0.272,-1.467,0.715,75.928,9.399,-106.812
0.596,-1.641,0.884,70.984,-6.470,-113.159
0.825,-1.746,1.050,58.533,-22.583,-106.201
0.908,-1.714,1.131,39.917,-29.785,-78.247
0.770,-1.535,1.072,18.250,-20.020,-36.560
0.439,-1.250,0.935,0.305,-2.441,8.423
0.043,-0.946,0.799,-8.850,12.939,41.382
-0.292,-0.656,0.707,-11.047,19.226,54.504
-0.507,-0.479,0.643,-10.803,15.686,47.791
-0.555,-0.391,0.609,-9.216,4.700,28.809
