aX,aY,aZ,gX,gY,gZ
0.495,0.232,0.827,10.193,4.517,-5.432
0.496,0.215,0.836,7.690,5.249,-4.395
0.512,0.208,0.837,7.385,6.287,-2.869
0.533,0.203,0.836,8.118,8.057,-1.038
0.526,0.198,0.832,9.033,9.399,0.977
0.506,0.191,0.842,9.766,10.742,1.160
0.497,0.178,0.855,10.742,11.597,-0.549
0.505,0.168,0.854,10.864,11.353,-2.686
0.512,0.154,0.850,9.338,10.742,-3.174
0.531,0.137,0.867,6.836,11.414,-2.747
0.509,0.114,0.888,3.967,12.390,-1.587
0.516,0.095,0.904,2.747,13.306,0.488
0.465,0.061,0.932,1.099,14.771,0.549
0.443,0.037,0.960,-1.587,15.930,0.122
0.415,0.011,0.997,-7.385,16.235,0.549
0.370,-0.020,1.045,-16.846,16.907,-0.183
0.358,-0.031,1.059,-22.766,21.667,3.906
0.356,-0.043,1.087,-28.687,28.015,6.165
0.303,-0.062,1.123,-34.363,31.311,3.235
0.283,-0.080,1.146,-40.100,33.081,0.732
0.275,-0.092,1.157,-45.715,35.461,-2.625
0.273,-0.104,1.157,-52.917,39.124,-5.737
0.291,-0.105,1.142,-60.486,43.884,-7.202
0.306,-0.107,1.130,-68.542,50.537,-7.202
0.308,-0.104,1.112,-77.209,57.495,-7.202
0.324,-0.086,1.086,-84.595,64.209,-6.592
0.331,-0.071,1.059,-92.041,70.251,-7.812
0.341,-0.051,1.026,-99.731,76.111,-8.850
0.355,-0.032,0.990,-106.506,81.360,-8.545
0.361,-0.007,0.954,-112.915,86.243,-8.301
0.368,0.011,0.911,-118.469,91.003,-9.460
0.380,0.035,0.868,-122.314,95.642,-12.634
0.397,0.057,0.835,-124.878,100.464,-17.517
0.411,0.082,0.793,-126.587,105.347,-22.949
0.423,0.112,0.753,-126.465,108.582,-28.076
0.443,0.144,0.716,-124.451,111.084,-34.241
0.455,0.166,0.685,-122.070,113.220,-41.809
0.473,0.184,0.670,-120.483,115.723,-49.927
0.497,0.198,0.654,-120.483,117.859,-58.533
0.526,0.206,0.630,-122.192,118.408,-65.063
0.528,0.197,0.628,-125.549,119.202,-70.740
0.535,0.188,0.635,-129.028,122.009,-74.951
0.552,0.178,0.624,-134.216,126.465,-77.087
0.575,0.157,0.591,-140.686,133.850,-76.843
0.586,0.135,0.536,-146.851,142.822,-72.327
0.567,0.119,0.511,-150.146,152.222,-62.439
0.524,0.102,0.497,-153.870,162.537,-53.040
0.474,0.084,0.500,-160.400,168.945,-47.546
0.409,0.035,0.523,-172.729,171.265,-47.974
0.390,-0.023,0.521,-190.186,172.791,-54.138
0.359,-0.096,0.501,-208.801,174.805,-60.120
0.316,-0.198,0.454,-226.379,182.617,-61.096
0.274,-0.315,0.361,-244.629,195.923,-61.035
0.212,-0.470,0.192,-265.564,209.351,-58.655
0.121,-0.645,-0.067,-288.940,221.802,-52.917
0.042,-0.790,-0.411,-313.354,230.469,-47.974
-0.007,-0.913,-0.854,-337.036,233.765,-48.279
-0.060,-1.017,-1.300,-345.032,235.962,-51.819
-0.032,-1.065,-1.747,-345.642,237.671,-54.810
0.074,-1.096,-2.135,-340.210,235.657,-59.204
0.302,-1.098,-2.485,-333.618,223.694,-65.735
0.625,-1.006,-2.795,-325.684,200.012,-70.068
1.006,-0.809,-3.131,-307.312,171.570,-70.313
1.448,-0.349,-3.382,-267.761,143.250,-60.974

1.839,0.665,-3.510,-138.367,115.112,9.644
1.634,0.942,-3.209,-57.007,97.839,46.936
1.193,0.868,-2.568,23.010,71.045,60.425
0.812,0.584,-1.632,81.482,38.330,43.213
0.606,0.225,-0.783,115.967,1.648,6.409
0.610,-0.111,-0.199,99.548,-20.081,-22.705
0.656,-0.269,0.015,62.378,-27.527,-34.058
0.752,-0.273,-0.025,18.677,-20.081,-24.963
0.851,-0.177,-0.296,-11.230,-3.052,-7.324
0.898,-0.041,-0.591,-22.583,12.512,12.146
0.891,0.095,-0.848,-23.010,24.658,30.640
0.838,0.198,-0.995,-13.184,32.837,44.922
0.765,0.246,-1.027,0.977,34.058,49.438
0.694,0.240,-0.952,13.733,28.259,43.762
0.656,0.189,-0.821,20.325,18.799,31.616
0.657,0.124,-0.704,19.165,8.789,18.372
0.685,0.082,-0.624,13.489,1.587,7.568
0.719,0.052,-0.571,7.690,-2.075,1.038
0.776,0.032,-0.550,3.418,-3.723,-2.991
0.836,0.023,-0.566,-1.038,-5.493,-5.371
0.886,0.022,-0.603,-4.211,-6.653,-6.104
0.908,0.032,-0.625,-3.052,-5.859,-3.723
0.910,0.045,-0.635,0.732,-2.869,0.854
0.899,0.070,-0.650,4.089,0.061,6.409
0.894,0.097,-0.665,6.226,1.160,10.376
0.853,0.123,-0.707,6.775,0.610,12.390
0.774,0.105,-0.640,6.653,-1.038,11.597
0.799,0.106,-0.637,11.475,-1.526,11.047
0.792,0.093,-0.623,11.230,-2.747,9.338
0.778,0.088,-0.631,8.850,-4.395,8.911
0.776,0.095,-0.667,8.484,-5.432,9.888
0.772,0.112,-0.695,9.705,-5.676,10.010
0.752,0.122,-0.706,12.573,-5.554,11.292
0.726,0.124,-0.693,17.090,-4.578,13.123
0.705,0.117,-0.660,20.691,-4.395,12.024
0.695,0.109,-0.638,21.790,-5.737,9.460
0.703,0.109,-0.635,20.874,-7.568,7.080
0.724,0.109,-0.650,19.165,-9.277,5.310
0.746,0.108,-0.673,18.921,-10.315,5.005
0.770,0.111,-0.709,19.897,-11.108,6.226
0.792,0.120,-0.757,21.667,-11.780,8.606
0.807,0.135,-0.804,25.330,-12.634,11.658
0.800,0.148,-0.824,30.945,-13.794,15.015
0.778,0.162,-0.807,38.086,-15.442,18.066
0.752,0.170,-0.770,44.373,-16.235,20.508
0.717,0.172,-0.713,48.889,-16.724,21.790
0.698,0.162,-0.655,51.636,-17.639,21.179
0.707,0.158,-0.625,52.124,-18.311,20.142
0.727,0.155,-0.626,50.537,-19.287,20.264
0.745,0.163,-0.655,49.011,-19.592,21.301
0.764,0.172,-0.691,50.049,-19.409,22.888
0.781,0.176,-0.728,53.406,-18.860,24.292
0.776,0.177,-0.766,56.396,-19.775,25.879
0.760,0.198,-0.786,60.425,-21.851,27.344
0.742,0.223,-0.763,66.345,-23.132,27.832
0.721,0.239,-0.732,72.205,-23.499,27.649
0.711,0.251,-0.721,75.439,-24.231,27.710
0.708,0.260,-0.732,76.965,-25.574,27.222
0.704,0.274,-0.746,78.918,-27.954,26.184
0.716,0.278,-0.748,82.153,-30.029,24.231
0.732,0.260,-0.751,85.815,-32.349,22.034
0.731,0.247,-0.755,89.111,-36.377,20.203
0.738,0.241,-0.734,92.468,-40.344,16.846
0.757,0.238,-0.687,96.252,-43.945,14.771
0.767,0.239,-0.648,97.900,-46.326,16.418
0.768,0.269,-0.634,97.656,-47.546,20.386
0.763,0.291,-0.630,99.304,-47.302,24.414
0.764,0.297,-0.639,102.295,-46.204,27.649
0.753,0.301,-0.670,103.638,-46.387,29.480
0.742,0.320,-0.679,105.896,-48.767,28.259
0.743,0.339,-0.662,110.107,-52.368,24.536
0.742,0.344,-0.661,112.488,-56.580,20.325
0.735,0.362,-0.669,112.549,-61.218,16.907
0.749,0.390,-0.684,114.197,-65.552,13.062
0.775,0.413,-0.723,116.272,-68.054,11.841
0.780,0.429,-0.768,120.789,-68.359,15.381
0.759,0.434,-0.776,129.333,-67.749,21.179
0.737,0.433,-0.781,138.855,-67.566,24.780
0.724,0.440,-0.832,145.142,-68.970,25.696
0.709,0.457,-0.879,149.658,-71.106,26.123
0.710,0.489,-0.922,155.396,-74.951,24.536
0.737,0.530,-0.991,163.757,-77.820,21.973
0.751,0.567,-1.021,176.208,-78.674,22.156
0.779,0.609,-1.041,191.895,-77.271,24.780
0.798,0.657,-1.096,206.848,-76.904,29.846
0.772,0.711,-1.118,221.436,-78.491,37.476
0.733,0.731,-1.099,237.061,-79.834,42.358
0.718,0.766,-1.109,248.413,-84.961,41.382
0.687,0.794,-1.123,254.395,-93.140,37.964
0.691,0.865,-1.194,255.981,-104.736,31.189
0.656,0.932,-1.226,256.287,-117.859,22.217
0.597,0.905,-1.139,262.024,-134.460,8.484
0.544,0.793,-0.937,272.705,-158.630,-14.465
0.532,0.671,-0.680,279.236,-184.631,-42.908
0.505,0.503,-0.417,274.475,-207.825,-66.772
0.453,0.333,-0.177,265.137,-229.858,-87.524
0.414,0.166,0.070,251.648,-249.939,-105.774
0.367,-0.006,0.352,234.009,-270.325,-117.981
0.275,-0.155,0.564,209.961,-286.865,-123.413
0.159,-0.322,0.722,188.171,-292.664,-122.681
-0.004,-0.554,0.846,178.833,-289.307,-113.708
-0.233,-0.888,1.066,186.646,-280.701,-98.572
-0.616,-1.416,1.493,216.125,-265.076,-80.688
-1.322,-2.213,2.271,261.108,-242.920,-66.284
-2.125,-3.295,3.215,303.589,-210.693,-62.500
-2.444,-4.000,4.000,334.900,-164.673,-75.500
-2.024,-4.000,4.000,372.375,-100.586,-91.614
-1.329,-3.971,4.000,197.571,-28.809,-68.909
-0.885,-2.981,3.854,-126.770,7.568,-31.616
-0.177,-1.907,1.938,-352.539,47.424,1.221
0.180,-0.327,-0.182,-434.143,69.275,23.865
0.652,0.516,-0.969,-335.999,84.839,50.415
1.137,1.396,-1.172,-178.101,106.323,71.472
1.352,2.039,-1.084,-66.101,93.872,72.815
1.263,2.318,-1.010,-16.479,58.655,60.791
1.068,2.301,-0.915,14.526,23.743,28.625
0.846,1.992,-0.629,52.856,-9.338,-14.221
0.666,1.525,-0.152,92.957,-39.490,-56.274
0.524,0.973,0.391,126.160,-60.669,-84.167

-0.590,-0.370,-2.451,-333.374,266.907,48.096
-0.494,-0.159,-2.852,-312.500,260.986,28.015
-0.190,0.085,-3.211,-289.124,243.896,0.366
0.466,0.344,-3.599,-265.747,209.290,-39.612
1.348,0.710,-3.985,-242.004,152.771,-89.050
2.139,0.982,-4.000,-205.627,77.026,-119.690
2.173,1.206,-3.995,-128.662,1.587,-112.305
1.670,1.001,-3.154,-9.888,-29.053,-62.683
1.099,0.640,-1.849,126.038,-17.944,-9.399
0.649,0.241,-0.765,199.158,-1.831,21.606
0.387,-0.296,0.194,190.674,-5.493,19.714
0.320,-0.155,0.160,160.950,-13.977,3.723
0.432,-0.450,0.303,85.083,-20.142,-14.832
0.516,-0.256,0.151,28.503,-17.212,-21.667
0.561,-0.192,-0.120,-12.878,0.183,-7.996
0.647,-0.061,-0.398,-30.090,14.282,0.793
0.754,0.071,-0.613,-37.720,19.836,2.930
0.820,0.163,-0.798,-41.870,18.250,2.991
0.837,0.246,-0.919,-36.377,17.212,6.287
0.813,0.294,-0.953,-23.682,15.564,9.827
0.778,0.300,-0.873,-7.019,10.925,8.362
0.761,0.295,-0.742,4.211,5.188,2.808
0.765,0.293,-0.639,6.714,-0.183,-2.930
0.779,0.297,-0.582,6.531,-3.174,-7.324
0.809,0.277,-0.553,6.287,-4.456,-11.963
0.860,0.273,-0.555,6.531,-6.226,-15.625
0.922,0.264,-0.607,5.859,-9.827,-19.653
0.974,0.269,-0.687,3.418,-13.062,-20.935
1.005,0.292,-0.755,4.639,-15.503,-19.470
1.005,0.321,-0.790,10.071,-18.799,-15.259
0.977,0.354,-0.807,17.090,-21.729,-9.033
0.931,0.383,-0.826,22.583,-23.682,-3.479
0.885,0.413,-0.838,27.954,-26.367,-0.122
0.844,0.426,-0.831,36.072,-29.114,1.892
0.803,0.421,-0.810,46.692,-31.860,2.075
0.781,0.424,-0.786,55.359,-34.119,1.221
0.767,0.402,-0.757,63.416,-36.377,-1.160
0.754,0.387,-0.730,69.885,-39.185,-3.906
0.748,0.346,-0.697,72.815,-41.443,-7.324
0.758,0.327,-0.683,73.547,-43.701,-10.376
0.771,0.296,-0.674,74.402,-45.532,-12.451
0.767,0.295,-0.657,76.294,-47.302,-12.390
0.777,0.268,-0.641,77.942,-47.974,-11.108
0.788,0.285,-0.615,79.712,-47.913,-8.240
0.760,0.260,-0.599,80.139,-47.241,-5.371
0.794,0.273,-0.563,82.092,-46.997,-2.991
0.793,0.283,-0.557,81.421,-46.814,-0.671
0.798,0.288,-0.537,80.078,-46.692,1.343
0.799,0.278,-0.514,79.346,-46.631,1.892
0.806,0.275,-0.497,76.904,-46.875,1.587
0.819,0.271,-0.494,72.876,-47.974,0.977
0.841,0.273,-0.494,69.946,-48.706,0.916
0.851,0.281,-0.500,67.566,-48.523,3.174
0.840,0.292,-0.481,66.467,-47.913,7.324
0.837,0.291,-0.445,67.444,-46.814,10.864
0.825,0.300,-0.418,66.162,-47.119,13.062
0.837,0.296,-0.392,61.890,-48.035,13.672
0.844,0.321,-0.392,58.411,-48.706,12.939
0.845,0.333,-0.397,56.335,-48.645,13.306
0.848,0.350,-0.401,55.725,-48.523,13.367
0.850,0.364,-0.402,56.824,-48.645,13.367
0.847,0.366,-0.391,58.655,-48.279,13.428
0.837,0.369,-0.391,59.021,-48.096,13.184
0.830,0.374,-0.392,58.655,-48.401,11.841
0.840,0.371,-0.383,59.998,-49.927,8.301
0.852,0.366,-0.388,59.814,-52.246,5.676
0.860,0.371,-0.392,59.326,-53.650,5.310
0.868,0.379,-0.381,61.218,-53.833,6.653
0.864,0.398,-0.358,64.453,-53.772,8.911
0.852,0.416,-0.337,67.871,-53.528,10.376
0.834,0.429,-0.319,70.374,-53.894,10.132
0.815,0.435,-0.301,71.655,-55.664,7.324
0.804,0.438,-0.285,72.144,-57.983,2.197
0.814,0.432,-0.269,72.754,-60.181,-2.808
0.825,0.414,-0.256,72.571,-62.134,-6.165
0.829,0.410,-0.249,70.801,-64.453,-7.812
0.846,0.408,-0.228,71.533,-65.552,-8.911
0.862,0.389,-0.187,74.280,-65.918,-9.155
0.866,0.380,-0.174,74.646,-65.735,-6.836
0.870,0.386,-0.177,73.975,-64.697,-3.479
0.857,0.400,-0.178,74.951,-63.843,0.000
0.837,0.398,-0.156,77.820,-62.988,1.892
0.832,0.401,-0.129,80.872,-63.110,0.793
0.836,0.412,-0.129,80.566,-63.660,-1.221
0.836,0.418,-0.119,79.407,-65.063,-3.296
0.847,0.414,-0.102,79.834,-68.115,-6.531
0.863,0.413,-0.097,79.529,-70.129,-9.644
0.872,0.414,-0.086,79.285,-71.045,-9.460
0.862,0.410,-0.052,80.566,-72.021,-7.629
0.862,0.409,-0.019,82.458,-72.693,-6.775
0.873,0.425,-0.002,83.862,-72.388,-5.798
0.874,0.431,0.002,83.252,-72.449,-4.089
0.871,0.443,-0.020,81.726,-73.669,-2.808
0.865,0.455,-0.050,81.421,-74.402,-2.136
0.864,0.469,-0.080,83.130,-75.623,-1.770
0.872,0.487,-0.106,85.876,-77.087,-1.343
0.862,0.504,-0.128,88.562,-78.674,-0.854
0.866,0.518,-0.138,93.689,-81.543,-2.014
0.917,0.543,-0.171,99.915,-84.534,-3.967
0.947,0.606,-0.255,103.821,-86.121,-2.319
0.943,0.654,-0.320,108.459,-86.975,4.395
0.913,0.672,-0.353,117.737,-90.698,9.338
0.909,0.707,-0.382,129.639,-94.910,11.841
0.886,0.752,-0.424,139.954,-97.534,15.381
0.884,0.822,-0.490,147.034,-99.426,19.409
0.860,0.899,-0.552,152.832,-102.844,21.851
0.810,0.949,-0.605,159.729,-109.985,18.188
0.725,0.949,-0.598,168.152,-121.277,7.141
0.641,0.858,-0.502,183.472,-136.536,-11.230
0.589,0.749,-0.389,196.655,-153.687,-33.813
0.531,0.622,-0.266,201.538,-168.701,-55.359
0.463,0.435,-0.117,201.660,-182.861,-74.890
0.432,0.273,0.070,197.998,-198.242,-92.651
0.327,0.040,0.232,186.096,-215.271,-104.553
0.249,-0.209,0.396,176.147,-228.027,-112.793
0.182,-0.387,0.534,169.983,-230.713,-112.122
0.039,-0.693,0.688,170.105,-224.609,-101.929
-0.176,-1.061,0.904,180.115,-217.102,-87.952
-0.507,-1.545,1.244,196.167,-206.543,-71.411

-1.596,-3.071,2.463,235.291,-168.701,-54.016
-1.977,-3.980,3.321,240.906,-137.695,-59.937
-1.856,-4.000,4.000,229.736,-88.806,-73.914
-1.271,-3.965,4.000,140.686,-33.997,-67.871
-0.828,-3.146,3.517,-63.171,8.606,-36.987
-0.445,-2.289,2.175,-254.822,52.002,2.991
-0.100,-1.164,0.718,-340.942,79.590,41.138
0.172,-0.292,-0.112,-318.726,107.788,73.730
0.493,0.296,-0.284,-224.365,125.366,88.501
0.742,0.856,-0.235,-122.498,116.272,88.623
0.853,1.211,-0.184,-76.660,97.717,81.482
0.847,1.414,-0.197,-61.279,72.937,64.087
0.805,1.476,-0.197,-46.387,48.889,39.368
0.738,1.384,-0.071,-22.400,25.391,12.390
0.674,1.204,0.147,7.385,6.287,-12.024
0.612,0.973,0.403,34.302,-6.897,-30.151
0.534,0.696,0.654,53.162,-14.954,-40.710
0.465,0.449,0.837,61.584,-16.479,-44.006
0.395,0.162,0.984,66.711,-15.381,-44.922
0.326,-0.058,1.078,60.486,-12.146,-42.419
0.281,-0.300,1.151,56.641,-5.005,-35.950
0.264,-0.462,1.218,43.762,2.869,-29.053
0.262,-0.577,1.255,32.715,12.939,-22.522
0.269,-0.656,1.263,18.311,23.743,-16.724
0.298,-0.688,1.238,2.197,34.058,-11.414
0.335,-0.683,1.196,-13.062,43.457,-6.836
0.370,-0.647,1.134,-26.123,52.185,-3.052
0.406,-0.607,1.072,-35.461,60.852,0.732
0.446,-0.548,1.012,-40.955,69.092,4.150
0.485,-0.495,0.957,-44.067,77.209,6.653
0.513,-0.435,0.910,-45.593,83.435,8.606
0.537,-0.378,0.873,-46.204,88.013,9.521
0.563,-0.330,0.859,-45.715,91.858,9.705
0.587,-0.300,0.866,-47.241,94.116,10.559
0.595,-0.261,0.857,-53.711,94.604,12.268
0.594,-0.230,0.827,-63.416,94.971,13.550
0.599,-0.180,0.764,-73.669,94.543,13.916
0.597,-0.133,0.691,-80.750,93.933,14.221
0.598,-0.087,0.640,-81.970,94.238,13.245
0.602,-0.055,0.613,-79.041,94.238,10.925
0.602,-0.036,0.596,-75.378,94.055,7.996
0.598,-0.030,0.591,-72.754,93.323,5.554
0.600,-0.029,0.596,-71.838,93.201,3.540
0.616,-0.043,0.613,-70.923,94.360,1.465
0.647,-0.052,0.632,-73.914,94.910,0.366
0.684,-0.037,0.633,-81.665,93.628,4.211
0.689,-0.004,0.555,-93.811,93.994,12.207
0.685,0.041,0.472,-100.281,97.290,22.034
0.677,0.086,0.410,-100.220,100.037,30.640
0.670,0.129,0.374,-97.534,102.112,36.194
0.655,0.166,0.333,-95.581,103.577,38.757
0.627,0.188,0.320,-93.628,102.844,36.987
0.628,0.195,0.333,-92.896,100.037,29.907
